chromosome	name	start	stop	length	penalty
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221193	5221405	213	1.528
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822645	2822857	213	0.427
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823503	2823715	213	0.147
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069905	1070117	213	1.631
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096437	1096649	213	3.051
Spolyrhiza9509_20150416_chr17	Sp17G02470	1615876	1616088	213	2.662
Spolyrhiza9509_20150416_chr17	Sp17G03440	2337754	2337966	213	1.748
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358030	2358242	213	1.738
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492931	2493143	213	1.371
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303450	214	5.249
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704567	3704780	214	4.888
Spolyrhiza9509_20150416_chr02	Sp02G05200	3707991	3708204	214	0.437
Spolyrhiza9509_20150416_chr02	Sp02G05200	3717023	3717236	214	5.453
Spolyrhiza9509_20150416_chr07	Sp07G05410	5056753	5056966	214	0.277
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274831	5275044	214	5.828
Spolyrhiza9509_20150416_chr09	Sp09G02400	1363765	1363978	214	0.689
Spolyrhiza9509_20150416_chr11	Sp11G07150	5965470	5965683	214	1.925
Spolyrhiza9509_20150416_chr13	Sp13G03150	3077861	3078074	214	0.145
Spolyrhiza9509_20150416_chr17	Sp17G01730	1081542	1081755	214	1.856
Spolyrhiza9509_20150416_chr17	Sp17G01730	1094821	1095034	214	6.052
Spolyrhiza9509_20150416_chr09	Sp09G01080	563237	563451	215	12.52
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958141	5958355	215	3.917
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822385	2822599	215	6.775
Spolyrhiza9509_20150416_chr17	Sp17G01730	1083238	1083452	215	3.366
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085330	1085544	215	1.286
Spolyrhiza9509_20150416_chr17	Sp17G01730	1097351	1097565	215	0.28
Spolyrhiza9509_20150416_chr17	Sp17G03440	2338400	2338614	215	6.262
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497884	2498098	215	2.16
Spolyrhiza9509_20150416_chr01	Sp01G05310	3285738	3285953	216	6.965
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703724	3703939	216	5.144
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704657	3704872	216	9.32
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713926	3714141	216	6.001
Spolyrhiza9509_20150416_chr02	Sp02G05200	3717704	3717919	216	0.287
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222395	5222610	216	4.456
Spolyrhiza9509_20150416_chr09	Sp09G01080	567061	567276	216	9.428
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958576	5958791	216	0.852
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067047	1067262	216	5.222
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069424	1069639	216	1.729
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318196	2318411	216	2.61
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318549	2318764	216	0.573
Spolyrhiza9509_20150416_chr17	Sp17G03410	2321581	2321796	216	2.164
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357621	2357836	216	5.041
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293575	217	3.108
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608920	3609136	217	4.251
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703639	3703855	217	1.693
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241699	5241915	217	0.485
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274613	5274829	217	2.703
Spolyrhiza9509_20150416_chr12	Sp12G06010	5347390	5347606	217	10.25
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823618	2823834	217	6.05
Spolyrhiza9509_20150416_chr17	Sp17G01700	1069493	1069709	217	1.167
Spolyrhiza9509_20150416_chr17	Sp17G01730	1093584	1093800	217	3.197
Spolyrhiza9509_20150416_chr17	Sp17G01730	1098001	1098217	217	1.002
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616186	1616402	217	0.712
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317524	2317740	217	3.186
Spolyrhiza9509_20150416_chr17	Sp17G03440	2336472	2336688	217	2.281
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708030	3708247	218	0.57
Spolyrhiza9509_20150416_chr11	Sp11G07150	5966919	5967136	218	1.896
Spolyrhiza9509_20150416_chr12	Sp12G05320	4443977	4444194	218	5.955
Spolyrhiza9509_20150416_chr12	Sp12G06010	5347479	5347696	218	8.795
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082454	1082671	218	0.357
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318766	2318983	218	0.291
Spolyrhiza9509_20150416_chr17	Sp17G03410	2321552	2321769	218	2.058
Spolyrhiza9509_20150416_chr17	Sp17G03670	2487509	2487726	218	1.476
Spolyrhiza9509_20150416_chr17	Sp17G03670	2492866	2493083	218	0.201
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500265	2500482	218	0.133
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500695	2500912	218	0.772
Spolyrhiza9509_20150416_chr02	Sp02G05200	3701139	3701357	219	6.078
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713242	3713460	219	3.581
Spolyrhiza9509_20150416_chr02	Sp02G05200	3715888	3716106	219	5.948
Spolyrhiza9509_20150416_chr07	Sp07G05410	5059453	5059671	219	3.027
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221270	5221488	219	6.077
Spolyrhiza9509_20150416_chr07	Sp07G05540	5221582	5221800	219	13.89
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222657	5222875	219	4.765
Spolyrhiza9509_20150416_chr07	Sp07G05550	5243202	5243420	219	0.215
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957880	5958098	219	3.829
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089024	1089242	219	0.287
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105424	1105642	219	1.179
Spolyrhiza9509_20150416_chr17	Sp17G02470	1616106	1616324	219	0.36
Spolyrhiza9509_20150416_chr17	Sp17G03440	2338279	2338497	219	1.011
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358444	2358662	219	4.415
Spolyrhiza9509_20150416_chr17	Sp17G03670	2493145	2493363	219	3.023
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301056	3301275	220	0.291
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303393	220	0.143
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712800	3713019	220	4.057
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713111	3713330	220	6.162
Spolyrhiza9509_20150416_chr17	Sp17G01730	1084817	1085036	220	1.107
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614421	1614640	220	0.43
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322237	2322456	220	6.674
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703802	3704022	221	0.728
Spolyrhiza9509_20150416_chr05	Sp05G06860	5889826	5890046	221	0.134
Spolyrhiza9509_20150416_chr07	Sp07G05410	5060522	5060742	221	0.139
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241118	5241338	221	1.853
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958381	5958601	221	2.845
Spolyrhiza9509_20150416_chr17	Sp17G01730	1081699	1081919	221	0.284
Spolyrhiza9509_20150416_chr17	Sp17G01730	1086446	1086666	221	8.247
Spolyrhiza9509_20150416_chr17	Sp17G03410	2317780	2318000	221	2.068
Spolyrhiza9509_20150416_chr17	Sp17G03410	2319241	2319461	221	3.374
Spolyrhiza9509_20150416_chr17	Sp17G03410	2321352	2321572	221	1.495
Spolyrhiza9509_20150416_chr17	Sp17G03440	2338463	2338683	221	0.795
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705319	3705540	222	3.909
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710477	3710698	222	6.927
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718916	3719137	222	0.288
Spolyrhiza9509_20150416_chr12	Sp12G06010	5345288	5345509	222	7.647
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823280	2823501	222	2.621
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823680	2823901	222	0.217
Spolyrhiza9509_20150416_chr17	Sp17G01730	1081873	1082094	222	0.064
Spolyrhiza9509_20150416_chr17	Sp17G02500	1638192	1638413	222	0.495
Spolyrhiza9509_20150416_chr17	Sp17G03410	2322014	2322235	222	8.504
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357555	2357776	222	0.864
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567825	2568047	223	3.081
Spolyrhiza9509_20150416_chr02	Sp02G05200	3710280	3710502	223	2.432
Spolyrhiza9509_20150416_chr05	Sp05G06860	5885675	5885897	223	3.853
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886792	5887014	223	9.562
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887760	5887982	223	6.937
Spolyrhiza9509_20150416_chr07	Sp07G05550	5242797	5243019	223	2.258
Spolyrhiza9509_20150416_chr13	Sp13G02790	2823224	2823446	223	0.494
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067265	1067487	223	0.139
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068402	1068624	223	0.642
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357657	2357879	223	0.698
Spolyrhiza9509_20150416_chr17	Sp17G03670	2484755	2484977	223	3.21
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501789	2502011	223	0.207
Spolyrhiza9509_20150416_chr02	Sp02G05090	3610494	3610717	224	1.766
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887528	5887751	224	10.58
Spolyrhiza9509_20150416_chr07	Sp07G05540	5220847	5221070	224	3.378
Spolyrhiza9509_20150416_chr12	Sp12G05320	4444041	4444264	224	1.021
Spolyrhiza9509_20150416_chr12	Sp12G06010	5346310	5346533	224	5.214
Spolyrhiza9509_20150416_chr13	Sp13G01220	1104684	1104907	224	4.322
Spolyrhiza9509_20150416_chr14	Sp14G06380	4804136	4804359	224	0.984
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067204	1067427	224	5.89
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357271	2357494	224	3.341
Spolyrhiza9509_20150416_chr17	Sp17G03520	2357463	2357686	224	3.478
Spolyrhiza9509_20150416_chr17	Sp17G03670	2486573	2486796	224	0.636
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500224	2500447	224	0.211
Spolyrhiza9509_20150416_chr02	Sp02G05090	3609143	3609367	225	0.567
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703140	3703364	225	1.155
Spolyrhiza9509_20150416_chr02	Sp02G05200	3703944	3704168	225	0.214
Spolyrhiza9509_20150416_chr02	Sp02G05200	3705542	3705766	225	2.074
Spolyrhiza9509_20150416_chr02	Sp02G05200	3714690	3714914	225	7.627
Spolyrhiza9509_20150416_chr02	Sp02G05200	3716825	3717049	225	8.839
Spolyrhiza9509_20150416_chr11	Sp11G07140	5957549	5957773	225	7.146
Spolyrhiza9509_20150416_chr11	Sp11G07140	5958044	5958268	225	1.345
Spolyrhiza9509_20150416_chr14	Sp14G01800	1138535	1138759	225	4.124
Spolyrhiza9509_20150416_chr17	Sp17G02680	1739578	1739802	225	1.401
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501700	2501924	225	0.215
Spolyrhiza9509_20150416_chr01	Sp01G04390	2567931	2568156	226	5.983
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274990	5275215	226	7.191
Spolyrhiza9509_20150416_chr09	Sp09G01080	563298	563523	226	17.24
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085690	1085915	226	3.55
Spolyrhiza9509_20150416_chr17	Sp17G01730	1089351	1089576	226	0.359
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613198	1613423	226	0.139
Spolyrhiza9509_20150416_chr02	Sp02G05200	3715130	3715356	227	6.508
Spolyrhiza9509_20150416_chr05	Sp05G06860	5887300	5887526	227	1.76
Spolyrhiza9509_20150416_chr07	Sp07G05540	5222527	5222753	227	9.897
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274635	5274861	227	4.293
Spolyrhiza9509_20150416_chr17	Sp17G02470	1613695	1613921	227	0.501
Spolyrhiza9509_20150416_chr17	Sp17G03520	2358244	2358470	227	4.077
Spolyrhiza9509_20150416_chr01	Sp01G04390	2568049	2568276	228	0.301
Spolyrhiza9509_20150416_chr02	Sp02G05200	3708382	3708609	228	3.948
Spolyrhiza9509_20150416_chr07	Sp07G05410	5060473	5060700	228	10.61
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274439	5274666	228	3.581
Spolyrhiza9509_20150416_chr17	Sp17G01700	1068130	1068357	228	1.082
Spolyrhiza9509_20150416_chr17	Sp17G01730	1085754	1085981	228	7.806
Spolyrhiza9509_20150416_chr17	Sp17G01730	1086217	1086444	228	11.25
Spolyrhiza9509_20150416_chr17	Sp17G01730	1105482	1105709	228	0.067
Spolyrhiza9509_20150416_chr17	Sp17G02670	1728224	1728451	228	0.43
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501517	2501744	228	0.359
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608459	3608687	229	10.32
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702212	3702440	229	6.697
Spolyrhiza9509_20150416_chr02	Sp02G05200	3713762	3713990	229	2.081
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886525	5886753	229	0.136
Spolyrhiza9509_20150416_chr13	Sp13G02790	2822244	2822472	229	0.29
Spolyrhiza9509_20150416_chr17	Sp17G02470	1614165	1614393	229	0.282
Spolyrhiza9509_20150416_chr17	Sp17G02470	1615810	1616038	229	3.477
Spolyrhiza9509_20150416_chr17	Sp17G03410	2318733	2318961	229	0.57
Spolyrhiza9509_20150416_chr17	Sp17G03670	2501257	2501485	229	1.119
Spolyrhiza9509_20150416_chr02	Sp02G05200	3712131	3712360	230	6.974
Spolyrhiza9509_20150416_chr07	Sp07G05540	5220940	5221169	230	3.7
Spolyrhiza9509_20150416_chr07	Sp07G05580	5274097	5274326	230	4.738
Spolyrhiza9509_20150416_chr17	Sp17G01730	1082969	1083198	230	0.075
Spolyrhiza9509_20150416_chr17	Sp17G01730	1092593	1092822	230	6.596
Spolyrhiza9509_20150416_chr17	Sp17G01730	1103256	1103485	230	0.36
Spolyrhiza9509_20150416_chr17	Sp17G02450	1607358	1607587	230	1.185
Spolyrhiza9509_20150416_chr02	Sp02G05200	3702908	3703138	231	8.625
Spolyrhiza9509_20150416_chr07	Sp07G05580	5276237	5276467	231	2.683
Spolyrhiza9509_20150416_chr09	Sp09G01080	563066	563296	231	11.73
Spolyrhiza9509_20150416_chr13	Sp13G03150	3078156	3078386	231	0.143
Spolyrhiza9509_20150416_chr17	Sp17G01730	1094851	1095081	231	1.582
Spolyrhiza9509_20150416_chr17	Sp17G01730	1096785	1097015	231	8.307
Spolyrhiza9509_20150416_chr17	Sp17G02680	1739832	1740062	231	0.072
Spolyrhiza9509_20150416_chr17	Sp17G03670	2491784	2492014	231	0.638
Spolyrhiza9509_20150416_chr17	Sp17G03670	2497506	2497736	231	1.11
Spolyrhiza9509_20150416_chr17	Sp17G03670	2500449	2500679	231	0.135
Spolyrhiza9509_20150416_chr17	Sp17G03700	2506098	2506328	231	0.072
Spolyrhiza9509_20150416_chr02	Sp02G05200	3715942	3716173	232	2.827
Spolyrhiza9509_20150416_chr02	Sp02G05200	3718553	3718784	232	8.387
Spolyrhiza9509_20150416_chr05	Sp05G06860	5886380	5886611	232	0.495
Spolyrhiza9509_20150416_chr07	Sp07G05550	5241355	5241586	232	0.356
Spolyrhiza9509_20150416_chr17	Sp17G01700	1067955	1068186	232	2.214
Spolyrhiza9509_20150416_chr17	Sp17G01730	1094666	1094897	232	2.802
Spolyrhiza9509_20150416_chr17	Sp17G03670	2480054	2480285	232	1.535
Spolyrhiza9509_20150416_chr02	Sp02G05090	3613261	3613493	233	12.7
Spolyrhiza9509_20150416_chr02	Sp02G05090	3613893	3614125	233	12.76
Spolyrhiza9509_20150416_chr02	Sp02G05200	3704756	3704988	233	5.999
