chromosome	name	start	stop	length	primer location quadruplets
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293575	304	3293272,86,3293422,154
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293629	358	3293272,86,3293577,53
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293745	474	3293272,86,3293631,115
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293973	702	3293272,86,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293272	3293998	727	3293272,86,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293575	217	3293359,62,3293422,154
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293629	271	3293359,62,3293577,53
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293745	387	3293359,62,3293631,115
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293973	615	3293359,62,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293359	3293998	640	3293359,62,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293422	3293629	208	3293422,154,3293577,53
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293422	3293745	324	3293422,154,3293631,115
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293422	3293973	552	3293422,154,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293422	3293998	577	3293422,154,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293577	3293973	397	3293577,53,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293577	3293998	422	3293577,53,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293577	3294382	806	3293577,53,3294003,380
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293577	3294451	875	3293577,53,3294384,68
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293631	3293973	343	3293631,115,3293747,227
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293631	3293998	368	3293631,115,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293631	3294382	752	3293631,115,3294003,380
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293631	3294451	821	3293631,115,3294384,68
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293747	3293998	252	3293747,227,3293975,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293747	3294382	636	3293747,227,3294003,380
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293747	3294451	705	3293747,227,3294384,68
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293975	3294382	408	3293975,24,3294003,380
Spolyrhiza9509_20150416_chr01	Sp01G05310	3293975	3294451	477	3293975,24,3294384,68
Spolyrhiza9509_20150416_chr01	Sp01G05310	3294003	3294451	449	3294003,380,3294384,68
Spolyrhiza9509_20150416_chr01	Sp01G05310	3294384	3295008	625	3294384,68,3294453,556
Spolyrhiza9509_20150416_chr01	Sp01G05310	3295010	3295825	816	3295010,638,3295649,177
Spolyrhiza9509_20150416_chr01	Sp01G05310	3295649	3296066	418	3295649,177,3295827,240
Spolyrhiza9509_20150416_chr01	Sp01G05310	3295649	3296226	578	3295649,177,3296068,159
Spolyrhiza9509_20150416_chr01	Sp01G05310	3295827	3296226	400	3295827,240,3296068,159
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297028	3297558	531	3297028,320,3297349,210
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297028	3297642	615	3297028,320,3297560,83
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297028	3297691	664	3297028,320,3297645,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297349	3297642	294	3297349,210,3297560,83
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297349	3297691	343	3297349,210,3297645,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297645	3298496	852	3297645,47,3297693,804
Spolyrhiza9509_20150416_chr01	Sp01G05310	3297693	3298565	873	3297693,804,3298516,50
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298516	3298933	418	3298516,50,3298567,367
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298516	3299147	632	3298516,50,3298935,213
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298516	3299193	678	3298516,50,3299149,45
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298516	3299412	897	3298516,50,3299195,218
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298567	3299147	581	3298567,367,3298935,213
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298567	3299193	627	3298567,367,3299149,45
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298567	3299412	846	3298567,367,3299195,218
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298935	3299193	259	3298935,213,3299149,45
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298935	3299412	478	3298935,213,3299195,218
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298935	3299511	577	3298935,213,3299414,98
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298935	3299576	642	3298935,213,3299513,64
Spolyrhiza9509_20150416_chr01	Sp01G05310	3298935	3299601	667	3298935,213,3299578,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299149	3299412	264	3299149,45,3299195,218
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299149	3299511	363	3299149,45,3299414,98
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299149	3299576	428	3299149,45,3299513,64
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299149	3299601	453	3299149,45,3299578,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299149	3300026	878	3299149,45,3299603,424
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299195	3299511	317	3299195,218,3299414,98
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299195	3299576	382	3299195,218,3299513,64
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299195	3299601	407	3299195,218,3299578,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299195	3300026	832	3299195,218,3299603,424
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299414	3300026	613	3299414,98,3299603,424
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299414	3300134	721	3299414,98,3300028,107
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299414	3300182	769	3299414,98,3300136,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299513	3300026	514	3299513,64,3299603,424
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299513	3300134	622	3299513,64,3300028,107
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299513	3300182	670	3299513,64,3300136,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299578	3300026	449	3299578,24,3299603,424
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299578	3300134	557	3299578,24,3300028,107
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299578	3300182	605	3299578,24,3300136,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299578	3300431	854	3299578,24,3300184,248
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299603	3300134	532	3299603,424,3300028,107
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299603	3300182	580	3299603,424,3300136,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3299603	3300431	829	3299603,424,3300184,248
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300028	3300431	404	3300028,107,3300184,248
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300136	3300431	296	3300136,47,3300184,248
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300184	3301051	868	3300184,248,3300433,619
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300433	3301128	696	3300433,619,3301056,73
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300433	3301176	744	3300433,619,3301130,47
Spolyrhiza9509_20150416_chr01	Sp01G05310	3300433	3301275	843	3300433,619,3301178,98
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301056	3301275	220	3301056,73,3301178,98
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301056	3301485	430	3301056,73,3301277,209
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301056	3301792	737	3301056,73,3301487,306
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301056	3301940	885	3301056,73,3301794,147
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301130	3301485	356	3301130,47,3301277,209
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301130	3301792	663	3301130,47,3301487,306
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301130	3301940	811	3301130,47,3301794,147
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301178	3301485	308	3301178,98,3301277,209
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301178	3301792	615	3301178,98,3301487,306
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301178	3301940	763	3301178,98,3301794,147
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301277	3301792	516	3301277,209,3301487,306
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301277	3301940	664	3301277,209,3301794,147
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301277	3302134	858	3301277,209,3301942,193
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301487	3301940	454	3301487,306,3301794,147
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301487	3302134	648	3301487,306,3301942,193
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301794	3302134	341	3301794,147,3301942,193
Spolyrhiza9509_20150416_chr01	Sp01G05310	3301942	3302815	874	3301942,193,3302136,680
Spolyrhiza9509_20150416_chr01	Sp01G05310	3302817	3303235	419	3302817,356,3303174,62
Spolyrhiza9509_20150416_chr01	Sp01G05310	3302817	3303260	444	3302817,356,3303237,24
Spolyrhiza9509_20150416_chr01	Sp01G05310	3302817	3303393	577	3302817,356,3303262,132
Spolyrhiza9509_20150416_chr01	Sp01G05310	3302817	3303450	634	3302817,356,3303396,55
Spolyrhiza9509_20150416_chr01	Sp01G05310	3302817	3303524	708	3302817,356,3303491,34
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303393	220	3303174,62,3303262,132
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303450	277	3303174,62,3303396,55
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303524	351	3303174,62,3303491,34
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303765	592	3303174,62,3303537,229
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303806	633	3303174,62,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303844	671	3303174,62,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303174	3303887	714	3303174,62,3303847,41
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303450	214	3303237,24,3303396,55
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303524	288	3303237,24,3303491,34
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303765	529	3303237,24,3303537,229
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303806	570	3303237,24,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303844	608	3303237,24,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303237	3303887	651	3303237,24,3303847,41
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303262	3303524	263	3303262,132,3303491,34
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303262	3303765	504	3303262,132,3303537,229
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303262	3303806	545	3303262,132,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303262	3303844	583	3303262,132,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303262	3303887	626	3303262,132,3303847,41
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303396	3303765	370	3303396,55,3303537,229
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303396	3303806	411	3303396,55,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303396	3303844	449	3303396,55,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303396	3303887	492	3303396,55,3303847,41
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303491	3303765	275	3303491,34,3303537,229
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303491	3303806	316	3303491,34,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303491	3303844	354	3303491,34,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303491	3303887	397	3303491,34,3303847,41
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303537	3303806	270	3303537,229,3303767,40
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303537	3303844	308	3303537,229,3303808,37
Spolyrhiza9509_20150416_chr01	Sp01G05310	3303537	3303887	351	3303537,229,3303847,41
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608374	211	3608164,26,3608355,20
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608399	236	3608164,26,3608379,21
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608449	286	3608164,26,3608418,32
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608493	330	3608164,26,3608459,35
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608524	361	3608164,26,3608495,30
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608591	428	3608164,26,3608534,58
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608687	524	3608164,26,3608639,49
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608841	678	3608164,26,3608780,62
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608905	742	3608164,26,3608863,43
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608164	3608952	789	3608164,26,3608920,33
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608449	234	3608216,22,3608418,32
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608493	278	3608216,22,3608459,35
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608524	309	3608216,22,3608495,30
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608591	376	3608216,22,3608534,58
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608687	472	3608216,22,3608639,49
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608841	626	3608216,22,3608780,62
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608905	690	3608216,22,3608863,43
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608216	3608952	737	3608216,22,3608920,33
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608449	200	3608250,51,3608418,32
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608493	244	3608250,51,3608459,35
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608524	275	3608250,51,3608495,30
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608591	342	3608250,51,3608534,58
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608687	438	3608250,51,3608639,49
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608841	592	3608250,51,3608780,62
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608905	656	3608250,51,3608863,43
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3608952	703	3608250,51,3608920,33
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608250	3609136	887	3608250,51,3609110,27
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3608591	237	3608355,20,3608534,58
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3608687	333	3608355,20,3608639,49
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3608841	487	3608355,20,3608780,62
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3608905	551	3608355,20,3608863,43
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3608952	598	3608355,20,3608920,33
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3609136	782	3608355,20,3609110,27
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608355	3609217	863	3608355,20,3609143,75
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608379	3608591	213	3608379,21,3608534,58
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608379	3608687	309	3608379,21,3608639,49
Spolyrhiza9509_20150416_chr02	Sp02G05090	3608379	3608841	463	3608379,21,3608780,62
